subsystem,name,request_header,response_header,mode_pid,required_session,formula,unit,status,source,notes
engine,Boost regulator feedback,7E0,7E8,2211CC,default,"signed16(A,B)*0.01",percent,platform-candidate,"OBDb-Volkswagen-Golf;OBDb-Audi-Q3",""
engine,Turbine actuator activation,7E0,7E8,22112C,default,"signed16(A,B)*0.01",percent,platform-candidate,OBDb-Volkswagen-Golf,""
engine,Mean injection quantity,7E0,7E8,221139,default,"signed16(A,B)/100",mg_per_stroke,platform-candidate,OBDb-Volkswagen-Golf,""
engine,Injection deviation cylinder 1,7E0,7E8,2210FF,default,"signed16(A,B)/100",mg_per_stroke,platform-candidate,OBDb-Audi-Q3,""
engine,Injection deviation cylinder 2,7E0,7E8,221105,default,"signed16(A,B)/100",mg_per_stroke,platform-candidate,OBDb-Audi-Q3,""
engine,Injection deviation cylinder 3,7E0,7E8,221100,default,"signed16(A,B)/100",mg_per_stroke,platform-candidate,OBDb-Audi-Q3,""
engine,Injection deviation cylinder 4,7E0,7E8,221104,default,"signed16(A,B)/100",mg_per_stroke,platform-candidate,OBDb-Audi-Q3,""
dsg,Calculated clutch temperature,7E1,7E9,2218E3,default,"signed16(A,B)",degC,platform-candidate,OBDb-Audi-Q3,""
dsg,Hydraulic oil pressure actual,7E1,7E9,22381D,default,"uint16(A,B)/100",bar,platform-candidate,OBDb-Audi-Q3,""
dsg,Oil pressure control current,7E1,7E9,22381E,default,"uint16(A,B)/10",mA,platform-candidate,OBDb-Audi-Q3,""
battery,Battery voltage,710,77A,222A07,default,"uint16(A,B)/1000+4",V,platform-candidate,OBDb-Volkswagen-Golf,""
battery,Battery temperature,710,77A,222A0B,default,"A-40",degC,platform-candidate,OBDb-Volkswagen-Golf,""
battery,Battery state of charge,710,77A,222A0C,default,A,percent,platform-candidate,OBDb-Volkswagen-Golf,""
battery,Battery current,710,77A,222A09,default,variant-dependent,A,variant-dependent,"OBDb-Volkswagen-Golf;OBDb-Audi-Q3","24-bit and signed 32-bit variants documented"
cluster,Cluster oil temperature,714,77E,22202F,default,"A-58",degC,platform-candidate,OBDb-VAG,"May be modelled rather than directly measured"
cluster,Odometer,714,77E,222203,default,"uint24(A,B,C)",km,platform-candidate,OBDb-VAG,""
cluster,Oil thermal wear,714,77E,22224B,default,"uint16(A,B)",km,platform-candidate,OBDb-Volkswagen-Golf,""
